order_id,order_date,customer_id,city,customer_segment,product_id,product_name,category,quantity,unit_price_krw,discount_rate,sales_amount_krw,channel,payment_method,returned,rating
T0054,2026-02-28,C004,Daegu,Standard,P004,Office Chair,Furniture,1,220000,0,220000,Online,KakaoPay,No,
T0055,2026-02-05,C007,Suwon,Basic,P006,Coffee Beans,Grocery,4,25000,0,100000,Mobile App,Naver Pay,No,5
T0056,2026-02-12,C011,Yongin,Basic,P009,Pen Set,Stationery,4,12000,0,48000,In-Store,KakaoPay,No,4
T0057,2026-01-05,C010,Sejong,Premium,P005,Desk,Furniture,1,310000,0.05,294500.0,Online,Naver Pay,No,4
T0058,2026-01-15,C010,Sejong,Premium,P009,Pen Set,Stationery,1,12000,0.1,10800.0,Mobile App,Naver Pay,No,3
T0059,2026-03-10,C001,Seoul,Premium,P009,Pen Set,Stationery,2,12000,0.15,20400.0,In-Store,Bank Transfer,No,4
T0060,2026-03-27,C007,Suwon,Basic,P002,Smartphone,Electronics,4,950000,0.1,3420000.0,Online,Bank Transfer,No,3
T0061,2026-03-27,C009,Jeju,Standard,P005,Desk,Furniture,1,310000,0.05,294500.0,Mobile App,KakaoPay,No,5
T0062,2026-03-27,C004,Daegu,Standard,P007,Green Tea,Grocery,4,18000,0.15,61200.0,In-Store,Bank Transfer,No,4
T0063,2026-01-01,C007,Suwon,Basic,P009,Pen Set,Stationery,1,12000,0,12000,Online,Bank Transfer,No,5
T0064,2026-02-26,C008,Ulsan,Premium,P008,Notebook,Stationery,2,6000,0.1,10800.0,Mobile App,KakaoPay,No,
T0065,2026-02-06,C011,Yongin,Basic,P002,Smartphone,Electronics,2,950000,0.15,1615000.0,In-Store,KakaoPay,No,3
T0066,2026-01-29,C011,Yongin,Basic,P005,Desk,Furniture,3,310000,0,930000,Online,Naver Pay,Yes,4
T0067,2026-02-28,C010,Sejong,Premium,P002,Smartphone,Electronics,1,950000,0.15,807500.0,Mobile App,Naver Pay,No,
T0068,2026-02-01,C008,Ulsan,Premium,P007,Green Tea,Grocery,1,18000,0.15,15300.0,In-Store,Naver Pay,Yes,3
T0069,2026-03-31,C004,Daegu,Standard,P003,Headphones,Electronics,2,150000,0,300000,Online,Naver Pay,No,3
T0070,2026-03-27,C003,Incheon,Premium,P008,Notebook,Stationery,2,6000,0.1,10800.0,Mobile App,Naver Pay,No,5
T0071,2026-01-21,C009,Jeju,Standard,P008,Notebook,Stationery,3,6000,0.05,17100.0,In-Store,Bank Transfer,No,4
T0072,2026-03-22,C009,Jeju,Standard,P008,Notebook,Stationery,1,6000,0.05,5700.0,Online,KakaoPay,Yes,4
T0073,2026-02-10,C005,Daejeon,Basic,P006,Coffee Beans,Grocery,4,25000,0,100000,Mobile App,Naver Pay,No,4
T0074,2026-01-28,C012,Anyang,Standard,P003,Headphones,Electronics,1,150000,0.05,142500.0,In-Store,Naver Pay,No,5
T0075,2026-02-23,C001,Seoul,Premium,P004,Office Chair,Furniture,1,220000,0.1,198000.0,Online,Naver Pay,No,3
T0076,2026-02-15,C008,Ulsan,Premium,P001,Laptop,Electronics,1,1200000,0.05,1140000.0,Mobile App,KakaoPay,No,5
T0077,2026-02-04,C008,Ulsan,Premium,P004,Office Chair,Furniture,1,220000,0,220000,In-Store,Naver Pay,No,
T0078,2026-03-01,C012,Anyang,Standard,P003,Headphones,Electronics,4,150000,0.1,540000.0,Online,Credit Card,No,5
T0079,2026-02-24,C002,Busan,Standard,P011,Water Bottle,Accessories,1,22000,0.05,20900.0,Mobile App,Naver Pay,No,4
T0080,2026-02-28,C006,Gwangju,Standard,P004,Office Chair,Furniture,1,220000,0.05,209000.0,In-Store,Bank Transfer,No,5
T0081,2026-01-03,C002,Busan,Standard,P008,Notebook,Stationery,3,6000,0,18000,Online,KakaoPay,No,4
T0082,2026-03-25,C011,Yongin,Basic,P002,Smartphone,Electronics,1,950000,0,950000,Mobile App,Credit Card,No,4
T0083,2026-01-31,C010,Sejong,Premium,P003,Headphones,Electronics,1,150000,0.15,127500.0,In-Store,Naver Pay,No,4
T0084,2026-02-17,C012,Anyang,Standard,P005,Desk,Furniture,1,310000,0.1,279000.0,Online,Credit Card,No,
T0085,2026-01-14,C003,Incheon,Premium,P005,Desk,Furniture,2,310000,0,620000,Mobile App,Naver Pay,No,5
T0086,2026-01-10,C012,Anyang,Standard,P004,Office Chair,Furniture,2,220000,0.15,374000.0,In-Store,Bank Transfer,No,
T0087,2026-01-16,C011,Yongin,Basic,P010,Backpack,Accessories,3,85000,0.1,229500.0,Online,Naver Pay,No,4
T0088,2026-01-09,C011,Yongin,Basic,P006,Coffee Beans,Grocery,2,25000,0,50000,Mobile App,Naver Pay,Yes,5
T0089,2026-02-16,C002,Busan,Standard,P007,Green Tea,Grocery,2,18000,0.05,34200.0,In-Store,KakaoPay,No,5
T0090,2026-03-25,C012,Anyang,Standard,P009,Pen Set,Stationery,1,12000,0.1,10800.0,Online,Naver Pay,No,5
T0091,2026-02-04,C012,Anyang,Standard,P010,Backpack,Accessories,1,85000,0,85000,Mobile App,Bank Transfer,No,3
T0092,2026-03-01,C008,Ulsan,Premium,P004,Office Chair,Furniture,2,220000,0.15,374000.0,In-Store,Naver Pay,No,3
T0093,2026-03-04,C006,Gwangju,Standard,P003,Headphones,Electronics,1,150000,0,150000,Online,Bank Transfer,No,5
T0094,2026-03-08,C009,Jeju,Standard,P001,Laptop,Electronics,4,1200000,0,4800000,Mobile App,Naver Pay,No,5
T0095,2026-03-30,C009,Jeju,Standard,P004,Office Chair,Furniture,2,220000,0.15,374000.0,In-Store,Credit Card,No,3
T0096,2026-02-21,C005,Daejeon,Basic,P004,Office Chair,Furniture,2,220000,0,440000,Online,Naver Pay,No,4
T0097,2026-02-14,C009,Jeju,Standard,P009,Pen Set,Stationery,1,12000,0.15,10200.0,Mobile App,Naver Pay,No,4
T0098,2026-02-02,C005,Daejeon,Basic,P005,Desk,Furniture,1,310000,0.15,263500.0,In-Store,KakaoPay,No,3
T0099,2026-03-03,C004,Daegu,Standard,P004,Office Chair,Furniture,1,220000,0.1,198000.0,Online,Bank Transfer,No,5
T0100,2026-02-07,C002,Busan,Standard,P004,Office Chair,Furniture,1,220000,0,220000,Mobile App,KakaoPay,No,
T0101,2026-01-07,C005,Daejeon,Basic,P001,Laptop,Electronics,2,1200000,0.15,2040000.0,In-Store,Naver Pay,No,
T0102,2026-03-15,C002,Busan,Standard,P001,Laptop,Electronics,1,1200000,0.05,1140000.0,Online,Credit Card,No,4
T0103,2026-01-15,C005,Daejeon,Basic,P008,Notebook,Stationery,3,6000,0.05,17100.0,Mobile App,Credit Card,No,5
T0104,2026-03-14,C003,Incheon,Premium,P003,Headphones,Electronics,4,150000,0,600000,In-Store,Naver Pay,No,3
T0105,2026-03-21,C010,Sejong,Premium,P010,Backpack,Accessories,1,85000,0.1,76500.0,Online,Bank Transfer,No,5
T0106,2026-02-09,C010,Sejong,Premium,P007,Green Tea,Grocery,2,18000,0,36000,Mobile App,Credit Card,No,
T0107,2026-01-28,C004,Daegu,Standard,P011,Water Bottle,Accessories,1,22000,0,22000,In-Store,Credit Card,No,4
T0108,2026-02-22,C003,Incheon,Premium,P001,Laptop,Electronics,2,1200000,0.1,2160000.0,Online,KakaoPay,No,3
T0109,2026-02-06,C005,Daejeon,Basic,P012,Monitor,Electronics,3,390000,0.05,1111500.0,Mobile App,Bank Transfer,Yes,4
T0110,2026-03-26,C011,Yongin,Basic,P010,Backpack,Accessories,3,85000,0,255000,In-Store,KakaoPay,No,5
T0111,2026-02-04,C011,Yongin,Basic,P003,Headphones,Electronics,3,150000,0,450000,Online,Bank Transfer,Yes,4
T0112,2026-03-01,C008,Ulsan,Premium,P002,Smartphone,Electronics,2,950000,0.15,1615000.0,Mobile App,Naver Pay,No,4
T0113,2026-03-18,C008,Ulsan,Premium,P002,Smartphone,Electronics,1,950000,0.05,902500.0,In-Store,Bank Transfer,No,5
T0114,2026-01-30,C001,Seoul,Premium,P002,Smartphone,Electronics,5,950000,0.1,4275000.0,Online,Bank Transfer,No,3
T0115,2026-01-23,C010,Sejong,Premium,P001,Laptop,Electronics,2,1200000,0.15,2040000.0,Mobile App,KakaoPay,No,4
T0116,2026-03-23,C010,Sejong,Premium,P007,Green Tea,Grocery,3,18000,0,54000,In-Store,Bank Transfer,No,5
T0117,2026-01-14,C006,Gwangju,Standard,P011,Water Bottle,Accessories,4,22000,0,88000,Online,Bank Transfer,No,5
T0118,2026-03-12,C011,Yongin,Basic,P007,Green Tea,Grocery,1,18000,0,18000,Mobile App,Credit Card,No,4
T0119,2026-01-01,C007,Suwon,Basic,P009,Pen Set,Stationery,2,12000,0.1,21600.0,In-Store,KakaoPay,No,3
T0120,2026-03-21,C009,Jeju,Standard,P006,Coffee Beans,Grocery,3,25000,0.15,63750.0,Online,KakaoPay,No,3
